FIPS,State,County,Area_name,Unemployment_rate_2008,Unemployment_rate_2012,Unemployment_rate_2016
48259,TX,Kendall County,"Kendall County, TX",3.8,5.4,3.2
48261,TX,Kenedy County,"Kenedy County, TX",3.4,5.1,4.6
48263,TX,Kent County,"Kent County, TX",4.1,4.0,3.0
48265,TX,Kerr County,"Kerr County, TX",3.9,5.8,3.6
48267,TX,Kimble County,"Kimble County, TX",3.7,4.9,3.8
48269,TX,King County,"King County, TX",4.5,4.5,3.9
48271,TX,Kinney County,"Kinney County, TX",5.2,8.8,5.8
48273,TX,Kleberg County,"Kleberg County, TX",4.2,6.9,6.7
48275,TX,Knox County,"Knox County, TX",3.8,5.2,4.2
48277,TX,Lamar County,"Lamar County, TX",5.3,9.2,4.6
48279,TX,Lamb County,"Lamb County, TX",4.4,8.0,6.5
48281,TX,Lampasas County,"Lampasas County, TX",4.0,7.1,4.1
48283,TX,La Salle County,"La Salle County, TX",5.3,4.4,5.1
48285,TX,Lavaca County,"Lavaca County, TX",3.4,4.8,4.2
48287,TX,Lee County,"Lee County, TX",3.9,5.4,3.8
48289,TX,Leon County,"Leon County, TX",4.3,7.4,6.5
48291,TX,Liberty County,"Liberty County, TX",5.9,9.6,7.5
48293,TX,Limestone County,"Limestone County, TX",4.3,6.9,5.6
48295,TX,Lipscomb County,"Lipscomb County, TX",2.8,3.9,4.4
48297,TX,Live Oak County,"Live Oak County, TX",4.2,4.6,5.9
48299,TX,Llano County,"Llano County, TX",4.2,6.8,4.2
48301,TX,Loving County,"Loving County, TX",7.0,6.0,4.7
48303,TX,Lubbock County,"Lubbock County, TX",3.7,5.3,3.4
48305,TX,Lynn County,"Lynn County, TX",4.6,6.0,4.0
48307,TX,McCulloch County,"McCulloch County, TX",3.9,5.4,4.5
48309,TX,McLennan County,"McLennan County, TX",4.5,6.6,3.9
48311,TX,McMullen County,"McMullen County, TX",5.4,2.4,2.1
48313,TX,Madison County,"Madison County, TX",5.2,7.1,5.1
48315,TX,Marion County,"Marion County, TX",5.0,9.1,7.0
48317,TX,Martin County,"Martin County, TX",3.5,4.5,4.4
48319,TX,Mason County,"Mason County, TX",3.0,5.2,3.6
48321,TX,Matagorda County,"Matagorda County, TX",6.7,10.1,7.3
48323,TX,Maverick County,"Maverick County, TX",10.6,12.5,11.2
48325,TX,Medina County,"Medina County, TX",5.0,6.6,4.4
48327,TX,Menard County,"Menard County, TX",4.3,6.3,4.4
48329,TX,Midland County,"Midland County, TX",2.8,3.9,4.4
48331,TX,Milam County,"Milam County, TX",5.4,8.6,5.1
48333,TX,Mills County,"Mills County, TX",3.9,5.4,4.2
48335,TX,Mitchell County,"Mitchell County, TX",5.4,6.0,7.0
48337,TX,Montague County,"Montague County, TX",3.5,5.4,4.9
48339,TX,Montgomery County,"Montgomery County, TX",4.2,5.9,4.9
48341,TX,Moore County,"Moore County, TX",3.1,4.3,3.0
48343,TX,Morris County,"Morris County, TX",6.0,9.7,10.9
48345,TX,Motley County,"Motley County, TX",4.3,5.9,3.5
48347,TX,Nacogdoches County,"Nacogdoches County, TX",4.3,6.6,4.7
48349,TX,Navarro County,"Navarro County, TX",5.4,7.3,4.2
48351,TX,Newton County,"Newton County, TX",7.3,11.1,7.9
48353,TX,Nolan County,"Nolan County, TX",3.8,5.9,4.8
48355,TX,Nueces County,"Nueces County, TX",4.5,6.6,5.6
48357,TX,Ochiltree County,"Ochiltree County, TX",2.7,3.9,5.2
48359,TX,Oldham County,"Oldham County, TX",4.4,4.3,3.0
48361,TX,Orange County,"Orange County, TX",6.4,10.5,6.7
48363,TX,Palo Pinto County,"Palo Pinto County, TX",4.1,6.7,5.5
48365,TX,Panola County,"Panola County, TX",3.8,6.9,7.2
48367,TX,Parker County,"Parker County, TX",4.4,5.9,4.1
48369,TX,Parmer County,"Parmer County, TX",3.3,4.1,2.5
48371,TX,Pecos County,"Pecos County, TX",4.4,5.1,5.9
